"COVID-19 vaccine should be offered free of cost to everyone, says Narayana Murthy",https://www.moneycontrol.com/news/current-affairs/covid-19-vaccine-should-be-offered-freecost-to-everyone-says-narayana-murthy_14510201.html,18 Nov 2020,4.05 pm
Accumulate Infosys; target of Rs 1270: Dolat Capital Market,https://www.moneycontrol.com/news/recommendations/accumulate-infosys-targetrs-1270-dolat-capital-market_14509001.html,18 Nov 2020,12.11 pm
Technical picks: Top 10 stocks that could give 10-26% returns in next 12 months,https://www.moneycontrol.com/news/market-outlook/technical-picks-top-10-stocks-that-could-give-10-26-returnsnext-12-months_14508341.html,18 Nov 2020,9.48 am
"We are close to 63% visa-independent in US; over 50% in Europe, Australia-New Zealand: Infosys",https://www.moneycontrol.com/news/business/weclose-to-63-visa-independentus-over-50europe-australia-new-zealand-infosys_14499821.html,15 Nov 2020,11.24 am
Buy Infosys; target of Rs 1355: Motilal Oswal,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1355-motilal-oswal_14496141.html,13 Nov 2020,3.11 pm
Buy Infosys; target of Rs 1360: Emkay Global Financial,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1360-emkay-global-financial_14495941.html,13 Nov 2020,3.08 pm
Infosys well positioned to continue its growth: CEO Salil Parekh,https://www.moneycontrol.com/news/business/infosys-well-positioned-to-continue-its-growth-ceo-salil-parekh_14489121.html,11 Nov 2020,11.04 pm
"Nifty likely to see new high in Samvat 2077, bet on these 8 stock ideas",https://www.moneycontrol.com/news/technicals/nifty-likely-to-see-new-highsamvat-2077-betthese-8-stock-ideas_14471341.html,07 Nov 2020,5.10 pm
Have pipeline of potential acquisitions that we’ll continue to pursue: Infosys CEO Salil Parekh,https://www.moneycontrol.com/news/business/have-pipelinepotential-acquisitions-that-we’ll-continue-to-pursue-infosys-ceo-salil-parekh_14428821.html,29 Oct 2020,5.18 pm
Buy Infosys; target of Rs 1319: Geojit,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1319-geojit_14389281.html,21 Oct 2020,12.11 pm
Experts bullish on these 3 IT stocks; advise buying on dips,https://www.moneycontrol.com/news/market-edge/experts-bullishthese-3-it-stocks-advise-buyingdips_14380541.html,19 Oct 2020,2.10 pm
"Trade Spotlight: Infosys, MindTree and Tech Mahindra in focus",https://www.moneycontrol.com/news/market-outlook/trade-spotlight-infosys-mindtreetech-mahindrafocus_14371381.html,16 Oct 2020,8.35 am
Hold Infosys; target of Rs 1247: Arihant Capital,https://www.moneycontrol.com/news/recommendations/hold-infosys-targetrs-1247-arihant-capital_14370061.html,15 Oct 2020,5.24 pm
Buy Infosys; target of Rs 1350: ICICI Direct,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1350-icici-direct_14369701.html,15 Oct 2020,3.43 pm
Buy Infosys; target of Rs 1360: Emkay Global Financial,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1360-emkay-global-financial_14369381.html,15 Oct 2020,3.04 pm
Buy Infosys; target of Rs 1230: HDFC Securities,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1230-hdfc-securities_14369221.html,15 Oct 2020,2.08 pm
Buy Infosys; target of Rs 1355: Motilal Oswal,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-1355-motilal-oswal_14368741.html,15 Oct 2020,1.04 pm
